sample_key,row,col,u,v,n_supporting_detections,median_area_frac
CG CL 1,0,0,0.21585053238066912,0.4681769263882209,1,0.00048475377797208284
CG CL 1,0,0,0.4986974339225214,0.4713810638446625,1,0.0010330818219077176
CG CL 1,0,1,1.1027795605072812,0.464342714736997,1,0.0005112430554568961
CG CL 1,0,1,1.7670898367582464,0.4668296070651353,1,0.00043707307849941894
CG CL 1,0,1,1.8452135038759063,0.46220834383004156,1,0.0003443606073025725
CG CL 1,0,2,2.296407194681264,0.46620505352757524,1,0.0005854130324143733
CG CL 1,0,2,2.5351781155366657,0.4674339754396316,1,0.0006172001653961492
CG CL 1,0,2,2.9114325428375705,0.4687245825503665,1,0.0007152104920899583
CG CL 1,0,3,3.094923654400603,0.46378302697101553,1,0.0004158816565115683
CG CL 1,0,3,3.604026876856935,0.4704571767382049,1,0.0007840826135504728
CG CL 1,0,3,3.7390172843780767,0.4662186336504465,1,0.0006622319371203317
CG CL 1,0,1,1.747432997411464,0.47444292458725557,1,0.0007099126365929956
CG CL 1,0,0,0.6709393207437303,0.4777550101474994,1,0.0009138800732260578
CG CL 1,0,3,3.6487970807473533,0.4773844142210783,1,0.0006277958763900744
CG CL 1,0,0,0.5650948478354852,0.48627613610632414,1,0.0009059332899806138
CG CL 1,0,2,2.8090498666615122,0.48194718551509613,1,0.0005880619601628546
CG CL 1,0,0,0.7744536899582487,0.49037003898069625,1,0.0010277839664107548
CG CL 1,0,2,2.380249888083296,0.4847214315941642,1,0.0006198490931446305
CG CL 1,0,3,3.9073036563428993,0.49001920550053507,1,0.0009774543391896096
CG CL 1,0,3,3.14129943650596,0.4884338514514617,1,0.000826465457526174
CG CL 1,0,3,3.7967712164173504,0.4861333683267757,1,0.0006516362261264065
CG CL 1,0,0,0.12622193457747483,0.4933859715278385,1,0.0009059332899806138
CG CL 1,0,0,0.20546989420549458,0.4938926311361896,1,0.0007973272522928794
CG CL 1,0,1,1.897632154527674,0.49178478531601727,1,0.0006224980208931119
CG CL 1,0,2,2.735263178297363,0.49387975545510965,1,0.0009032843622321325
